,ReportDate,TransactionDate,Ticker,Representative,Transaction,Amount,Party,House,Range,Sentiment,Price,Low_End,High_End,Adjusted_Low_End,Adjusted_High_End,Running_Portfolio_Low_End,Running_Portfolio_High_End,Est_Portfolio_Value,Shares_High_End,Shares_Low_End,Variance
0,2018-05-03,2018-04-25,CHTR,Alan S. Lowenthal,Sale,299.14,D,Representatives,299.14,,300.3500061,299.14,,299.14,,1300.14,,,,0.9959713465109864,12556.27699848708
1,2018-05-03,2018-04-25,CHTR,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,300.3500061,1001.0,15000.0,1001.0,15000.0,2301.14,30000.0,16150.57,49.94173362861803,3.33277835748311,12556.27699848708
2,2018-11-17,2018-11-07,BLK,Alan S. Lowenthal,Purchase,1001.0,D,Representatives,1001-15000,,374.7956543,1001.0,15000.0,-1001.0,-15000.0,71352.87,380000.0,225676.435,-40.021808758736185,-2.670788704499661,20119.303742163684
3,2018-12-12,2018-11-14,BLK,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,354.7202759,1001.0,15000.0,1001.0,15000.0,84669.43000000001,560000.0,322334.715,42.28684126370234,2.8219418736644037,20201.864525237354
4,2018-12-12,2018-11-14,BLK,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,354.7202759,1001.0,15000.0,1001.0,15000.0,87672.43000000001,605000.0,346336.215,42.28684126370234,2.8219418736644037,20201.864525237354
5,2018-12-11,2018-11-29,UNH,Alan S. Lowenthal,Purchase,1001.0,D,Representatives,1001-15000,,263.2836609,1001.0,15000.0,-1001.0,-15000.0,102477.78,640000.0,371238.89,-56.97277206160271,-3.801982988910954,9475.609821301314
6,2019-02-23,2019-02-19,CHTR,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,348.4299927,1001.0,15000.0,1001.0,15000.0,50762.92,445000.0,247881.46,43.050254898449786,2.872887010223216,17319.26582306795
7,2019-02-23,2019-02-19,CHTR,Alan S. Lowenthal,Sale,700.12,D,Representatives,700.12,,348.4299927,700.12,,700.12,,51463.04,,,,2.0093562973001777,17319.26582306795
8,2019-02-23,2019-02-20,CHTR,Alan S. Lowenthal,Sale,350.01,D,Representatives,350.01,,349.7600098,350.01,,350.01,,51813.05,,,,1.0007147478070548,17367.102030457918
9,2019-02-23,2019-02-20,CHTR,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,349.7600098,1001.0,15000.0,1001.0,15000.0,52814.05,460000.0,256407.025,42.88654957602875,2.861962408373652,17367.102030457918
10,2019-04-28,2019-04-16,UNH,Alan S. Lowenthal,Sale,663.86,D,Representatives,663.86,,207.3396149,663.86,,663.86,,76396.26,,,,3.2018001013466724,7783.0638134438805
11,2019-07-03,2019-06-20,SPY,Alan S. Lowenthal,Purchase,295.26,D,Representatives,295.26,,275.9357605,295.26,,-295.26,,129238.73,,,,-1.0700316605030973,11667.463911287628
12,2019-09-21,2019-09-13,SPY,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,282.1794128,1001.0,15000.0,1001.0,15000.0,139686.66,875000.0,507343.33,53.1576696228776,3.5473884861666987,11979.817133451792
13,2019-09-21,2019-09-16,SPY,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,281.3078308,1001.0,15000.0,1001.0,15000.0,137701.2,860000.0,498850.6,53.322369154609405,3.558379434917601,12006.227459516202
14,2019-09-21,2019-09-20,SPY,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,280.836792,1001.0,15000.0,1001.0,15000.0,137701.2,860000.0,498850.6,53.41180510280149,3.564347793860286,12118.728100338412
15,2019-11-25,2019-11-04,BA,Alan S. Lowenthal,Purchase,15001.0,D,Representatives,15001-50000,,346.9884949,15001.0,50000.0,-15001.0,-50000.0,116496.3,735000.0,425748.15,-144.09699668690658,-43.23198094600571,18890.327136559095
16,2019-11-25,2019-11-04,BA,Alan S. Lowenthal,Purchase,701.19,D,Representatives,701.19,,346.9884949,701.19,,-701.19,,113793.11,,,,-2.0207874621378408,18890.327136559095
17,2019-11-25,2019-11-04,BA,Alan S. Lowenthal,Purchase,1001.0,D,Representatives,1001-15000,,346.9884949,1001.0,15000.0,-1001.0,-15000.0,112219.95,690000.0,401109.975,-43.229099006071976,-2.88482187367187,18890.327136559095
18,2020-02-02,2020-01-22,BA,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,307.1724243,1001.0,15000.0,1001.0,15000.0,80471.95,515000.0,297735.975,48.832508432951805,3.258756062758984,14042.187710137216
19,2020-05-28,2020-05-15,BLK,Alan S. Lowenthal,Sale,420.0,D,Representatives,420.00,,474.2997742,420.0,,420.0,,153051.61,,,,0.8855159180887504,41199.025896921725
20,2020-08-17,2020-08-06,BABA,Alan S. Lowenthal,Purchase,15001.0,D,Representatives,15001-50000,,265.6799927,15001.0,50000.0,-15001.0,-50000.0,158868.72,1040000.0,599434.36,-188.1963315787158,-56.46266340024632,11953.498673969716
21,2020-08-17,2020-08-06,BABA,Alan S. Lowenthal,Purchase,791.84,D,Representatives,791.84,,265.6799927,791.84,,-791.84,,158076.88,,,,-2.980427663945807,11953.498673969716
22,2020-09-04,2020-08-24,CRM,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,208.4600067,1001.0,15000.0,1001.0,15000.0,158076.88,1040000.0,599038.44,71.9562482869286,4.801880302347702,9311.468422839765
23,2020-09-04,2020-08-24,CRM,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,208.4600067,1001.0,15000.0,1001.0,15000.0,158386.52,1055000.0,606693.26,71.9562482869286,4.801880302347702,9311.468422839765
24,2020-09-04,2020-08-24,CRM,Alan S. Lowenthal,Sale,624.72,D,Representatives,624.72,,208.4600067,624.72,,624.72,,159011.24,,,,2.9968338286540024,9311.468422839765
25,2020-09-15,2020-09-02,BLK,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,565.0794067,1001.0,15000.0,1001.0,15000.0,162348.97,1100000.0,631174.485,26.544941865070445,1.7714324537957011,53181.85646633428
26,2020-10-28,2020-10-19,OLED,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,185.7390137,1001.0,15000.0,1001.0,15000.0,179603.87,1180000.0,679801.935,80.75847772201237,5.389282413315626,7708.616374610986
27,2020-10-28,2020-10-19,OLED,Alan S. Lowenthal,Sale,192.29,D,Representatives,192.29,,185.7390137,192.29,,192.29,,179796.16,,,,1.0352698454110505,7708.616374610986
28,2020-10-28,2020-10-20,OLED,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,185.7488403,1001.0,15000.0,1001.0,15000.0,180797.16,1195000.0,687898.58,80.7542053870901,5.388997306165146,7781.630714887637
29,2020-10-28,2020-10-20,OLED,Alan S. Lowenthal,Sale,190.45,D,Representatives,190.45,,185.7488403,190.45,,190.45,,180987.61,,,,1.0253092277314206,7781.630714887637
