,ReportDate,TransactionDate,Ticker,Representative,Transaction,Amount,Party,House,Range,Sentiment,Price,Low_End,High_End,Adjusted_Low_End,Adjusted_High_End,Running_Portfolio_Low_End,Running_Portfolio_High_End,Est_Portfolio_Value,Shares_High_End,Shares_Low_End,Variance
0,2021-09-14,2021-08-23,BKNG,Alan S. Lowenthal,Purchase,1001.0,D,Representatives,1001-15000,,2137.320068,1001.0,15000.0,-1001.0,-15000.0,162216.09,1190000.0,676108.045,-7.018134637193703,-0.4683435181220597,840568.4694993601
1,2021-09-14,2021-08-23,BKNG,Alan S. Lowenthal,Purchase,15001.0,D,Representatives,15001-50000,,2137.320068,15001.0,50000.0,-15001.0,-50000.0,147215.09,1140000.0,643607.545,-23.39378212397901,-7.018602512836182,840568.4694993601
2,2021-09-14,2021-08-23,BKNG,Alan S. Lowenthal,Purchase,1001.0,D,Representatives,1001-15000,,2137.320068,1001.0,15000.0,-1001.0,-15000.0,147215.09,1140000.0,643607.545,-7.018134637193703,-0.4683435181220597,840568.4694993601
3,2021-12-25,2021-12-15,BKNG,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,2130.379883,1001.0,15000.0,1001.0,15000.0,172226.09,1340000.0,756113.045,7.04099776743902,0.4698692510137639,930671.3247408563
4,2021-12-25,2021-12-15,BKNG,Alan S. Lowenthal,Sale,1001.0,D,Representatives,1001-15000,,2130.379883,1001.0,15000.0,1001.0,15000.0,173227.09,1355000.0,764113.545,7.04099776743902,0.4698692510137639,930671.3247408563
5,2021-12-25,2021-12-15,BKNG,Alan S. Lowenthal,Sale,15001.0,D,Representatives,15001-50000,,2130.379883,15001.0,50000.0,15001.0,50000.0,205231.09,1485000.0,845115.545,23.469992558130063,7.041467167290183,930671.3247408563
6,2023-05-26,2022-03-08,BKNG,Dan Newhouse,Purchase,1001.0,R,Representatives,1001-15000,,1899.530029,1001.0,15000.0,-1001.0,-15000.0,-25025.0,-375000.0,-200012.5,-7.896690113341714,-0.5269724535636704,675444.7761621503
7,2023-05-26,2023-03-17,BKNG,Dan Newhouse,Sale,1001.0,R,Representatives,1001-15000,,2440.850098,1001.0,15000.0,1001.0,15000.0,-33033.0,-495000.0,-264016.5,6.145399921236786,0.4101030214105348,918043.332109076
8,2023-02-13,2023-01-10,BKNG,Dan Sullivan,Sale,1001.0,R,Senate,1001 - 15000,,2220.949951,1001.0,15000.0,1001.0,15000.0,234997.0,400000.0,317498.5,6.753866737630054,0.450708040291179,926742.3501176405
9,2019-04-09,2019-03-26,BKNG,David Perdue,Purchase,15001.0,R,Senate,15001 - 50000,,1768.869995,15001.0,50000.0,-15001.0,-50000.0,-1198094.0,-6620000.0,-3909047.0,-28.266633580383616,-8.480555406786692,448040.03139241965
10,2019-11-05,2019-09-30,BKNG,David Perdue,Sale,1001.0,R,Senate,1001 - 15000,,1962.609985,1001.0,15000.0,1001.0,15000.0,-1113058.0,-5920000.0,-3516529.0,7.642883769390381,0.5100351102106514,570594.6085099172
11,2021-05-02,2020-04-14,BKNG,David Perdue,Sale,15001.0,R,Senate,15001 - 50000,,1449.420044,15001.0,50000.0,15001.0,50000.0,2717983.0,5870000.0,4293991.5,34.496556196376154,10.349656790036777,392339.9752616327
12,2020-05-08,2020-04-14,BKNG,David Perdue,Sale,15001.0,R,Senate,15001 - 50000,,1449.420044,15001.0,50000.0,15001.0,50000.0,4170029.0,9625000.0,6897514.5,34.496556196376154,10.349656790036777,392339.9752616327
13,2019-07-11,2019-06-05,BKNG,Dean Phillips,Purchase,1001.0,D,Representatives,1001-15000,,1765.0,1001.0,15000.0,-1001.0,-15000.0,48020.0,370000.0,209010.0,-8.498583569405099,-0.5671388101983003,542141.9831176085
14,2019-07-11,2019-06-06,BKNG,Dean Phillips,Purchase,1001.0,D,Representatives,1001-15000,,1754.859985,1001.0,15000.0,-1001.0,-15000.0,48020.0,370000.0,209010.0,-8.547690487113135,-0.5704158785066833,543844.6529682176
15,2019-07-11,2019-06-07,BKNG,Dean Phillips,Purchase,1001.0,D,Representatives,1001-15000,,1778.290039,1001.0,15000.0,-1001.0,-15000.0,46018.0,340000.0,193009.0,-8.435069460567338,-0.5629003020018604,550089.0668511773
16,2019-12-11,2019-11-12,BKNG,Dean Phillips,Purchase,1001.0,D,Representatives,1001-15000,,1875.839966,1001.0,15000.0,-1001.0,-15000.0,57029.0,505000.0,281014.5,-7.996417749849776,-0.5336276111733084,623846.4797469614
17,2020-02-07,2020-01-27,BKNG,Dean Phillips,Purchase,1001.0,D,Representatives,1001-15000,,1908.890015,1001.0,15000.0,-1001.0,-15000.0,59031.0,535000.0,297015.5,-7.857969753170929,-0.5243885148616066,406574.39298563433
