,ReportDate,Representative,Ticker,TransactionDate,Amount,Delta,Ratio
19738,2018-10-13,Rodney Leland Blum,ENB,2018-09-18,100001.0,50000.0,2.00002
19740,2019-01-08,Rodney Leland Blum,MO,2018-12-17,100001.0,50000.0,2.00002
11707,2023-06-06,Jonathan Jackson,HON,2023-05-01,50001.0,35000.0,1.4286
19035,2018-12-17,Paul Mitchell Iii,SU,2018-12-17,100001.0,85000.0,1.1764823529411765
19033,2018-12-12,Paul Mitchell Iii,SJM,2018-12-12,100001.0,85000.0,1.1764823529411765
17839,2020-07-11,Mo Brooks,D,2020-06-01,15001.0,14000.0,1.0715
17838,2020-05-22,Mo Brooks,D,2020-04-29,15001.0,14000.0,1.0715
20901,2022-02-17,Susan M. Collins,WEX,2022-01-06,15001.0,14000.0,1.0715
17834,2020-05-22,Mo Brooks,DUK,2020-04-02,15001.0,14000.0,1.0715
20902,2022-02-17,Susan M. Collins,NVDA,2022-01-06,15001.0,14000.0,1.0715
20903,2022-02-17,Susan M. Collins,AMZN,2022-01-06,15001.0,14000.0,1.0715
25340,2022-05-10,Zoe Lofgren,UNP,2022-04-04,15001.0,14000.0,1.0715
13854,2019-02-12,Katherine M. Clark,KHC,2019-01-25,15001.0,14000.0,1.0715
20907,2022-02-17,Susan M. Collins,UL,2022-01-21,15001.0,14000.0,1.0715
20908,2022-02-17,Susan M. Collins,HSY,2022-01-21,15001.0,14000.0,1.0715
13853,2019-02-12,Katherine M. Clark,HD,2019-01-25,15001.0,14000.0,1.0715
20909,2023-01-10,Susan M. Collins,AKAM,2022-12-20,15001.0,14000.0,1.0715
13852,2019-02-12,Katherine M. Clark,NSC,2019-01-25,15001.0,14000.0,1.0715
13851,2019-02-12,Katherine M. Clark,INTC,2019-01-25,15001.0,14000.0,1.0715
13850,2019-02-12,Katherine M. Clark,PNC,2019-01-25,15001.0,14000.0,1.0715
13849,2019-07-31,Katherine M. Clark,FSK,2019-01-25,15001.0,14000.0,1.0715
20899,2022-02-17,Susan M. Collins,HSIC,2022-01-06,15001.0,14000.0,1.0715
17854,2021-10-14,Mo Brooks,D,2021-09-29,15001.0,14000.0,1.0715
17853,2021-10-14,Mo Brooks,PFE,2021-08-16,15001.0,14000.0,1.0715
17837,2020-05-22,Mo Brooks,MAR,2020-04-29,15001.0,14000.0,1.0715
17337,2022-08-26,Mary Gay Scanlon,EXC,2022-02-04,15001.0,14000.0,1.0715
17338,2023-06-05,Mary Gay Scanlon,CEG,2023-05-23,15001.0,14000.0,1.0715
17339,2023-06-05,Mary Gay Scanlon,EXC,2023-05-23,15001.0,14000.0,1.0715
17844,2020-11-08,Mo Brooks,BAC,2020-10-28,15001.0,14000.0,1.0715
17840,2020-07-11,Mo Brooks,D,2020-06-08,15001.0,14000.0,1.0715
20900,2022-02-17,Susan M. Collins,MMM,2022-01-06,15001.0,14000.0,1.0715
14106,2020-04-03,Kathy Castor,BAC,2020-03-10,15001.0,14000.0,1.0715
20898,2022-02-17,Susan M. Collins,LIN,2022-01-06,15001.0,14000.0,1.0715
6548,2020-02-22,Donald Sternoff Beyer Jr,IAU,2020-02-14,15001.0,14000.0,1.0715
16814,2021-06-11,Marjorie Taylor Greene,AAPL,2021-05-12,15001.0,14000.0,1.0715
11133,2021-02-04,John Curtis,AMZN,2021-02-02,15001.0,14000.0,1.0715
20857,2020-03-13,Susan A. Davis,FTNT,2020-02-11,15001.0,14000.0,1.0715
20861,2020-04-16,Susan A. Davis,FTNT,2020-03-16,15001.0,14000.0,1.0715
20864,2020-10-29,Susan A. Davis,LUV,2020-09-29,15001.0,14000.0,1.0715
20865,2020-11-30,Susan A. Davis,F,2020-10-28,15001.0,14000.0,1.0715
20868,2020-11-30,Susan A. Davis,CSIQ,2020-10-28,15001.0,14000.0,1.0715
20869,2018-02-08,Susan M. Collins,TSCO,2018-01-31,15001.0,14000.0,1.0715
20870,2018-02-08,Susan M. Collins,AYI,2018-01-31,15001.0,14000.0,1.0715
20871,2018-06-12,Susan M. Collins,HOLX,2018-05-04,15001.0,14000.0,1.0715
20872,2018-06-12,Susan M. Collins,JPM,2018-05-08,15001.0,14000.0,1.0715
13888,2020-02-04,Katherine M. Clark,UPS,2020-01-30,15001.0,14000.0,1.0715
6505,2020-02-22,Donald Sternoff Beyer Jr,AAPL,2020-01-14,15001.0,14000.0,1.0715
20854,2020-03-13,Susan A. Davis,ALK,2020-02-11,15001.0,14000.0,1.0715
11626,2022-04-19,John Rutherford,CE,2022-03-16,15001.0,14000.0,1.0715
11577,2021-03-08,John Rutherford,NCLH,2021-03-01,15001.0,14000.0,1.0715
20882,2018-07-10,Susan M. Collins,STZ,2018-06-18,15001.0,14000.0,1.0715
20885,2018-11-13,Susan M. Collins,AMZN,2018-10-02,15001.0,14000.0,1.0715
20886,2018-11-13,Susan M. Collins,SBUX,2018-10-02,15001.0,14000.0,1.0715
20887,2018-11-13,Susan M. Collins,HON,2018-10-16,15001.0,14000.0,1.0715
20891,2019-01-08,Susan M. Collins,ENB,2018-12-21,15001.0,14000.0,1.0715
20892,2019-01-08,Susan M. Collins,STZ,2018-12-21,15001.0,14000.0,1.0715
20893,2019-01-08,Susan M. Collins,LIN,2018-12-21,15001.0,14000.0,1.0715
20895,2019-01-08,Susan M. Collins,NEE,2018-12-21,15001.0,14000.0,1.0715
20896,2019-06-11,Susan M. Collins,WEX,2019-05-21,15001.0,14000.0,1.0715
20897,2019-09-10,Susan M. Collins,AKAM,2019-08-20,15001.0,14000.0,1.0715
