,Representative,Times Beat Var Rank
0,Zoe Lofgren,240
1,William R. Timmons Iv,601
2,William R. Keating,22
3,Warren Davidson,992
4,W. Greg Steube,970
5,Virginia Foxx,1000
6,Victoria Spartz,835
7,Tommy Tuberville,525
8,Tom Udall,710
9,Tom Rice,545
10,Tom O'Halleran,763
11,Tom Malinowski,998
12,Tina Smith,956
13,Tim Kaine,518
14,Tim Burchett,903
15,Thomas Suozzi,994
16,Thomas R. Carper,1000
17,Thomas Massie,240
18,Thomas Macarthur,1000
19,Thomas J. Rooney,517
20,Thomas H. Kean Jr.,730
21,Thomas H. Kean,29
22,Thom Tillis,912
23,Teresa Leger Fernandez,941
24,Ted Cruz,436
25,Tammy Duckworth,365
26,Suzan K. Delbene,217
27,Susie Lee,989
28,Susan W. Brooks,602
29,Susan M. Collins,697
30,Susan A. Davis,961
31,Steve Knight,1000
32,Steve Cohen,537
33,Stephanie Murphy,832
34,Stephanie Bice,604
35,Shri Thanedar,699
36,Shelley Moore Capito,456
37,Sheldon Whitehouse,974
38,Seth Moulton,766
39,Sean Patrick Maloney,112
40,Scott Mr Franklin,137
41,Scott H. Peters,1000
42,Scott Franklin,168
43,Sara Jacobs,298
44,Roy Blunt,987
45,Ron Wyden,465
46,Ron Estes,777
47,Roger W. Marshall,726
48,Rodney Leland Blum,987
49,Robert J. Wittman,490
50,Robert E. Latta,999
51,"Robert C. ""Bobby"" Scott",388
52,Robert B. Aderholt,222
53,Rob Woodall,417
54,Rick Larsen,160
55,Richard W. Allen,628
56,Richard Burr,999
57,Richard Blumenthal,1000
58,Raúl M. Grijalva,309
59,Peter Welch,1000
60,Peter Meijer,48
61,Peter J. Visclosky,997
62,Pete Sessions,570
63,Paul Mitchell Iii,771
64,Patrick T. Mchenry,509
65,Patrick Fallon,381
66,Pat Toomey,1000
67,Pat Roberts,320
68,Nicholas Van Taylor,0
69,Nicholas V. Taylor,216
70,Nancy Pelosi,344
71,Mrs. Marjorie Taylor Greene,182
72,Mr. Scott Franklin,780
73,Mr. Peter Meijer,35
74,Morgan Mcgarvey,96
75,Mo Brooks,1000
76,Mikie Sherrill,997
77,Michael Patrick Guest,999
78,Michael K. Simpson,1000
79,Michael John Gallagher,844
80,Michael Garcia,269
81,Michael C. Burgess,304
82,Matt Gaetz,983
83,Mary Gay Scanlon,898
84,Mark Warner,165
