Representative,Trimmed_Mean,ReportDate,TransactionDate,Ticker,Transaction,Amount,Party,House,Range,Sentiment,Price,Low_End,High_End,Adjusted_Low_End,Adjusted_High_End,Running_Portfolio_Low_End,Running_Portfolio_High_End,Est_Portfolio_Value,Shares_High_End,Shares_Low_End,Normalized_Amount
Alan S. Lowenthal,745.5811378848728,2020-07-08,2020-06-29,SH,Purchase,15001.0,D,Representatives,15001-50000,,22.15281487,15001.0,50000.0,-15001.0,-50000.0,152376.14,805000.0,478688.07,-2257.049512371969,-677.1599947018381,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2022-01-29,2022-01-21,HD,Sale,15001.0,D,Representatives,15001-50000,0.0964999999999999,333.5379639,15001.0,50000.0,15001.0,50000.0,217229.09,1490000.0,853614.545,149.90797273977122,44.97538998138616,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2020-06-12,2020-06-04,CRM,Purchase,15001.0,D,Representatives,15001-50000,,171.4400024,15001.0,50000.0,-15001.0,-50000.0,154442.8,750000.0,452221.4,-291.64721943564325,-87.49999877508168,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2021-11-08,2021-10-21,BX,Sale,15001.0,D,Representatives,15001-50000,,122.403801,15001.0,50000.0,15001.0,50000.0,179219.09,1270000.0,724609.545,408.4840469945864,122.5533837793158,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2019-06-12,2019-06-04,APD,Sale,15001.0,D,Representatives,15001-50000,,194.1114349,15001.0,50000.0,15001.0,50000.0,129368.7,885000.0,507184.35,257.58400078675635,77.28035191604263,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2022-09-03,2022-08-26,ZTS,Purchase,15001.0,D,Representatives,15001-50000,,158.4872894,15001.0,50000.0,-15001.0,-50000.0,250234.09,1635000.0,942617.045,-315.4827127733058,-94.65112348624722,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2018-11-17,2018-10-29,APTV,Sale,15001.0,D,Representatives,15001-50000,,75.22570038,15001.0,50000.0,15001.0,50000.0,72555.63,395000.0,233777.815,664.6664603643003,199.41323143849732,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2022-04-12,2022-04-06,IFF,Sale,15001.0,D,Representatives,15001-50000,,120.205719,15001.0,50000.0,15001.0,50000.0,253237.09,1680000.0,966618.545,415.9535870335753,124.79439518181329,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2020-01-02,2019-12-13,SH,Purchase,15001.0,D,Representatives,15001-50000,,23.86048698,15001.0,50000.0,-15001.0,-50000.0,75610.83,500000.0,287805.415,-2095.5146490476195,-628.6963050072668,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2022-01-27,2022-01-14,GOOG,Sale,15001.0,D,Representatives,15001-50000,-0.0750499999999999,139.786499,15001.0,50000.0,15001.0,50000.0,215227.09,1460000.0,837613.545,357.68833440774563,107.31365408901183,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2022-05-21,2022-05-06,ICE,Sale,15001.0,D,Representatives,15001-50000,,97.88248444,15001.0,50000.0,15001.0,50000.0,272242.09,1790000.0,1031121.045,510.8166214421028,153.2552027650597,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2022-03-22,2022-03-07,DECK,Sale,15001.0,D,Representatives,15001-50000,,234.8000031,15001.0,50000.0,15001.0,50000.0,232230.09,1540000.0,886115.045,212.94718628562063,63.8884148294119,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,IWN,Sale,15001.0,D,Representatives,15001-50000,,156.6395111,15001.0,50000.0,15001.0,50000.0,189229.09,1420000.0,804614.545,319.2042649321063,95.76766356493052,20.11987594342327
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,BKNG,Sale,15001.0,D,Representatives,15001-50000,,2130.379883,15001.0,50000.0,15001.0,50000.0,205231.09,1485000.0,845115.545,23.469992558130063,7.041467167290183,20.11987594342327
